path	status	expected	reason
gcc/testsuite/gcc.dg/c90-const-expr-8.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-const-expr-9.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-digraph-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/c90-dupqual-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-enum-comma-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-flex-array-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-flex-array-2.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-float-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-fordecl-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-func-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-func-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-hexfloat-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-hexfloat-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/c90-idem-qual-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-idem-qual-2.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-idem-qual-3.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-impl-decl-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-impl-int-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-impl-int-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-init-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-intconst-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-intprom-1.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/c90-left-shift-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-left-shift-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-left-shift-3.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-longlong-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-mixdecl-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-noreturn-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-restrict-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-return-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-scope-1.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/c90-static-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-static-assert-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-thread-local-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-typedef-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-typespec-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-vla-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/complex-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/float-range-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/float-range-2.c	skipped	accept	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/long-long-typespec-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/lvalue-6.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after void-address diagnostics
gcc/testsuite/gcc.dg/pr101364-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/pr25682.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/pr29467.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/pr33694.c	imported-accept	accept	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/pr67088.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/pr97986-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/pragma-diag-2.c	skipped	accept	requires GCC pragma semantics
gcc/testsuite/gcc.dg/pthread-init-2.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/redecl-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/redecl-4.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/redecl-5.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/register-var-1.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/register-var-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after register-address diagnostics
gcc/testsuite/gcc.dg/sync-2.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/sync-3.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/union-cast-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
